Tract_ID,STATEFP10,State_Label,F14_FI_RATE,F14_DISTRIB,F14_LB_UNME,F14_Pounds_Needed,Coverage_Pct_2014,F15_FI_RATE,F15_FI_POP,F15_Pounds_Needed,F15_DISTRIB,F15_LB_UNME,Coverage_Pct_2015,PPIN_Distributed_2015,PPIN_Unmet_2015,PPIN_Source_2015,Total_Pop,Poverty_Rate,Median_Income,Unemployment_Rate,Black_Pct,White_Pct,Hispanic_Pct,Homeownership_Pct,Income_Quartile
24031700711,24,MD,7.1,18474.38,65603.10696,84077.48696000001,21.973040189449545,0.076,443.1427,93059.967,40225.98676,52833.98025,43.225876880012216,90.77434144802567,119.22565857454045,90.774341,5825,0.097,97632,0.045,0.169,0.7,0.174,0.706,Q3
24031701308,24,MD,8.1,3055.57,47430.11484,50485.68484,6.052349313837692,0.062,192.578386,40441.46106,5838.641073,34602.81999,14.437265420103493,30.318257382217336,179.68174263336076,30.318257,3103,0.046,148885,0.078,0.103,0.6,0.03,0.917,Q4 (Highest)
24031701408,24,MD,4.0,2460.62,51517.77892,53978.39892,4.55852720575655,0.06,436.26,91614.6,7721.618756,83892.98124,8.428371412416798,17.699579966075277,192.30042002475588,17.69958,7271,0.047,125938,0.058,0.182,0.5,0.11,0.855,Q4 (Highest)
24031700724,24,MD,18.9,32130.66,99560.75996,131691.41996,24.398446010954533,0.184,599.150552,125821.6159,52111.02926,73710.58666,41.416595143251534,86.97484978700312,123.02515021299689,86.97485,3253,0.297,44784,0.056,0.294,4.4,0.346,0.061,Q1 (Lowest)
24031701212,24,MD,1.7,1680.95,7783.122682,9464.072682,17.761380924272157,0.028,75.6,15876.0,6608.985491,9267.014509,41.62878238221215,87.42044300264551,122.57955699735452,87.420443,2700,0.001,152656,0.041,0.148,0.1,0.077,0.945,Q4 (Highest)
24031700822,24,MD,10.3,8649.84,27450.63186,36100.471860000005,23.960462438121713,0.098,174.244,36591.24,15226.80087,21364.43913,41.6132409560321,87.38780600766741,122.61219399233258,87.387806,1778,0.269,65476,0.042,0.121,2.6,0.377,0.542,Q1 (Lowest)
24031700829,24,MD,3.5,5333.53,16282.81562,21616.34562,24.6735969796175,0.025,75.675,15891.75,6836.918505,9054.831495,43.02181009014111,90.34580118929634,119.65419881070368,90.345801,3027,0.039,128594,0.016,0.059,0.0,0.14,0.824,Q4 (Highest)
24031700717,24,MD,9.9,27696.41,88582.05749,116278.46749000001,23.819035972745255,0.088,505.472,106149.12,43877.782,62271.338,41.33598281361164,86.80556390858446,123.19443609141555,86.805564,5744,0.07,66964,0.1,0.2,4.3,0.37,0.659,Q2
24031700704,24,MD,9.1,13294.64,43710.48679,57005.12679,23.321832173053217,0.092,265.121184,55675.44864,23893.26992,31782.17872,42.91527145922968,90.12207006438231,119.87792993561766,90.12207,2876,0.092,72554,0.11,0.08,1.2,0.313,0.676,Q2
24031700823,24,MD,3.3,5626.49,17935.51271,23562.00271,23.87950663299113,0.043,142.601459,29946.30639,12745.18172,17201.12467,42.56011260292191,89.37623646613602,120.623763533864,89.376236,3313,0.039,109417,0.052,0.104,0.6,0.159,0.899,Q3
