STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,GIS_ID,GLOBALID,CREATED,EDITED,SHAPEAREA,SHAPELEN,OBJECTID
24,031,700833,24031700833,7008.33,Census Tract 7008.33,G5020,S,2322209,17018,24031700833,700833,0,700833,93,7.1,0,4435,0.135,0.128,81056,0.28,0.251,0.785,0.123,546.050505,114670.60605,68750.341404,45920.264646,84.09527,12.3,546.050505,86309.587746,28361.018304,51.938453,13.6,109352.304328,22023.7,35.204117,CAFB_Hunger_Heat_Map_58,{72FD4E9E-5D93-42B1-9D51-0ED71498826D},,,0,0,24
24,031,700715,24031700715,7007.15,Census Tract 7007.15,G5020,S,2361588,4884,24031700715,700715,0,700715,82.9,16.2,0.9,6267,0.089,0.047,98433,0.272,0.289,0.784,0.074,463.758,97389.18,61007.68606,36381.49394,78.449307,7.4,463.758,70760.58762,26628.59238,57.419155,7.6,80893.474722,15712.41,34.155324,CAFB_Hunger_Heat_Map_59,{83B49324-F6E2-44AE-BEBB-461F623DE3B5},,,0,0,25
24,031,701304,24031701304,7013.04,Census Tract 7013.04,G5020,S,7442112,18737,24031701304,701304,0,701304,92.6,6.3,1,5839,0.07,0.023,122708,0.164,0.097,0.918,0.057,332.490177,69822.93717,68296.421055,1526.516115,4.591162,5.7,332.823,67758.453474,2134.376526,6.412948,5,61213.781821,3256.22,10.606574,CAFB_Hunger_Heat_Map_60,{C096A1C2-777F-49C7-9804-1D6FDB72F08C},,,0,0,26
24,031,701307,24031701307,7013.07,Census Tract 7013.07,G5020,S,15357526,62186,24031701307,701307,0,701307,93.1,6.8,0.1,3912,0.053,0.072,142266,0.14,0.092,0.959,0.046,179.952,37789.92,34817.288372,2972.631628,16.519025,4.6,179.952,34571.315047,3218.604953,17.885908,5.1,35580.842488,4538.82,23.757721,CAFB_Hunger_Heat_Map_61,{9DA2A6B2-D561-464C-A193-25B8244A9223},,,0,0,27
24,031,700818,24031700818,7008.18,Census Tract 7008.18,G5020,S,2227234,26433,24031700818,700818,0,700818,91.1,7.8,1.2,6626,0.093,0.106,65422,0.385,0.281,0.222,0.164,1087.750664,228427.63944,207801.967719,20625.671721,18.961764,16.4,1086.664,211013.148472,17186.291528,15.815645,18.6,199164.106894,43203.19,37.433559,CAFB_Hunger_Heat_Map_62,{252B03A3-BC7A-4FDA-9BD2-1443E62D6E35},,,0,0,28
24,031,700611,24031700611,7006.11,Census Tract 7006.11,G5020,S,15821767,155107,24031700611,700611,0,700611,89.7,9.3,1,6692,0.065,0.02,151147,0.09,0.134,0.925,0.033,220.836,46375.56,46012.291637,363.268363,1.644969,3.3,220.836,46375.56,0,0,3.8,50684.443996,2230.94,8.853694,CAFB_Hunger_Heat_Map_63,{933BFD07-0164-40DD-9C2C-9FE81A129550},,,0,0,29
24,031,700306,24031700306,7003.06,Census Tract 7003.06,G5020,S,3059800,4451,24031700306,700306,0,700306,90.2,8.8,0.9,6968,0.053,0.028,110000,0.177,0.166,0.838,0.053,368.934696,77476.28616,72996.487158,4479.799002,12.142526,5.3,369.304,73999.785632,3554.054368,9.623655,6.1,80968.145466,6729.11,16.113547,CAFB_Hunger_Heat_Map_64,{6A7302DC-628B-4A6A-9797-9943E60C4900},,,0,0,30
24,031,700832,24031700832,7008.32,Census Tract 7008.32,G5020,S,1371296,10582,24031700832,700832,0,700832,86,10.3,3.7,2971,0.048,0.07,70405,0.288,0.371,0.762,0.057,169.347,35562.87,22150.390778,13412.479222,79.201162,5.7,169.516347,26977.709228,8620.723642,50.854822,9.1,43104.855939,8683.24,35.21043,CAFB_Hunger_Heat_Map_65,{4CD169A5-EC0A-4DC6-9A9C-0A5C584459B9},,,0,0,31
24,031,700813,24031700813,7008.13,Census Tract 7008.13,G5020,S,2479622,26527,24031700813,700813,0,700813,84.9,14.4,0.7,6386,0.069,0.154,76018,0.265,0.302,0.769,0.088,561.968,118013.28,73503.629653,44509.650347,79.203176,8.8,561.968,89386.857394,28626.422606,50.939596,8.4,88338.030188,18278.13,36.002115,CAFB_Hunger_Heat_Map_66,{DA8D499C-14C1-4C5C-9574-3B669564DE1E},,,0,0,32
24,031,700812,24031700812,7008.12,Census Tract 7008.12,G5020,S,1752164,17384,24031700812,700812,0,700812,82,17.4,0.7,4153,0.042,0.063,76471,0.115,0.286,0.778,0.047,195.386191,41031.10011,25969.45649,15061.64362,77.086531,4.7,194.995809,30925.045714,10024.074176,51.406613,4.8,34387.57237,7676.27,38.323087,CAFB_Hunger_Heat_Map_67,{DA126F14-9D7A-45B8-AB90-286EB1FA8355},,,0,0,33
